run_id,sender,receiver,size_bits,propagation_delay,transmission_delay,processing_delay,queuing_delay,total_delay,packet_lost,timestamp
1,Vehicle,ECA,1256,0.009645795293302797,0.00020933333333333334,0.0032134148541328044,0.0005373734051803073,0.013605916885949242,False,1776668108.2005687
1,Vehicle,ECA,5232,0.009184469416838169,0.000872,0.002098583219223224,0.002976586772782816,0.015131639408844207,False,1776668108.2005723
1,Vehicle,TMA,13288,0.00789359088494108,0.002214666666666667,0.003901212352387366,0.0010181176790469838,0.015027587583042096,False,1776668108.2005737
2,Vehicle,ECA,1256,0.003281871265189048,0.00020933333333333334,0.003663557301345004,0.0022250908034367723,0.009379852703304157,False,1776668108.4558713
2,Vehicle,ECA,5232,0.0025327422345159086,0.000872,0.004869474963357687,0.0029836817465508903,0.011257898944424487,False,1776668108.4558733
2,Vehicle,TMA,13296,0.0032459837482484476,0.002216,0.003962716561903512,0.0018967197464832234,0.011321420056635185,False,1776668108.4558754
3,Vehicle,ECA,1256,0.007439057890094757,0.00020933333333333334,0.004330269411709508,0.0011425069502490205,0.013121167585386617,False,1776668108.724732
3,Vehicle,ECA,5240,0.004023139950495747,0.0008733333333333334,0.001776453379647598,0.001637414159252831,0.008310340822729509,False,1776668108.724734
3,Vehicle,TMA,13312,0.009931834848043428,0.0022186666666666665,0.0033768921963259492,0.0013159140024133864,0.01684330771344943,False,1776668108.7247355
4,Vehicle,ECA,1256,0.007135646340923611,0.00020933333333333334,0.004910090101441758,0.0025259401061326525,0.014781009881831356,False,1776668108.9716241
4,Vehicle,ECA,5256,0.0035105468435583254,0.000876,0.002350449281592646,0.001937657392807546,0.008674653517958517,False,1776668108.9716263
4,Vehicle,TMA,13336,0.004507500499298208,0.0022226666666666666,0.0030174789076164053,0.0026703751155186138,0.012418021189099893,False,1776668108.9716275
5,Vehicle,ECA,1256,0.0010254283058087395,0.00020933333333333334,0.002877849552941801,0.0013327748737882862,0.00544538606587216,False,1776668109.2060773
5,Vehicle,ECA,5248,0.003945304969871831,0.0008746666666666667,0.004255128565927255,0.0007748643740628945,0.009849964576528647,False,1776668109.2060788
5,Vehicle,TMA,13312,0.007426577713519894,0.0022186666666666665,0.002254391146377331,0.001751522154746077,0.013651157681309969,False,1776668109.2060797
6,Vehicle,ECA,1256,0.00812116739677295,0.00020933333333333334,0.0043353953149411605,0.001438315977095526,0.01410421202214297,False,1776668109.2923098
6,Vehicle,ECA,5248,0.002702539016154395,0.0008746666666666667,0.004623460296129391,0.0009904696534180789,0.009191135632368532,True,1776668109.2923112
7,Vehicle,ECA,1256,0.007775628235099959,0.00020933333333333334,0.002371306676255869,0.0025371967182385123,0.012893464962927674,False,1776668109.3765147
