run_id,vehicle_id,phase1_time,phase2_time,total_time,status,s1_ok,sigma2_ok,timestamp
1,1,0.13898940000217408,0.11103590001584962,0.2500253000180237,OK,,,1776668108.2005599
2,1,0.08717889996478334,0.11654459999408573,0.20372349995886907,OK,,,1776668108.4558628
3,1,0.08770029997685924,0.12730990001000464,0.21501019998686388,OK,,,1776668108.724723
4,1,0.0885441999998875,0.1069164999644272,0.1954606999643147,OK,,,1776668108.971617
5,1,0.07174099999247119,0.11131419998127967,0.18305519997375086,OK,,,1776668109.2060719
6,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1776668109.2923048
7,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1776668109.3765073
8,1,0.07455540000228211,0.09916570002678782,0.17372110002906993,OK,,,1776668109.6014652
9,1,0.08287429995834827,0.10823509999318048,0.19110939995152876,OK,,,1776668109.844366
10,1,0.11635929998010397,,,PACKET_LOSS_PHASE2: [SIMULATOR] Packet dropped (Vehicle → TMA),,,1776668110.1408298
11,1,0.09398669999791309,0.1244169999845326,0.2184036999824457,OK,,,1776668110.4103634
12,1,0.08148330001858994,0.1021321999724023,0.18361549999099225,OK,,,1776668110.6445515
13,1,0.07245109998621047,0.09765150002203882,0.17010260000824928,OK,,,1776668110.8655152
14,1,0.07649340003263205,0.12930209998739883,0.20579550002003089,OK,,,1776668111.1230776
15,1,0.07914609997533262,0.12391240004217252,0.20305850001750514,OK,,,1776668111.3776958
16,1,0.07781200000317767,0.11754519998794422,0.1953571999911219,OK,,,1776668111.624215
17,1,0.07653530000243336,0.10270410001976416,0.17923940002219751,OK,,,1776668111.8578887
18,1,0.07465260004391894,0.11455599998589605,0.189208600029815,OK,,,1776668112.0980837
19,1,0.0717214000178501,0.09848690003855154,0.17020830005640164,OK,,,1776668112.3196118
20,1,0.0844105000142008,0.1069112999830395,0.1913217999972403,OK,,,1776668112.5623784
