run_id,vehicle_id,phase1_time,phase2_time,total_time,status,s1_ok,sigma2_ok,timestamp
1,1,0.25101400003768504,0.279453499999363,0.530467500037048,OK,,,1774868555.3965845
2,1,0.16889189998619258,0.18909330002497882,0.3579852000111714,OK,,,1774868555.8059037
3,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1774868555.8612094
4,1,0.18237440002849326,0.16980139998486266,0.3521758000133559,OK,,,1774868556.2653584
5,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1774868556.3894799
6,1,0.11217189999297261,0.18543959996895865,0.29761149996193126,OK,,,1774868556.767392
7,1,0.15997059998335317,0.2207042999798432,0.38067489996319637,OK,,,1774868557.1990628
8,1,0.1964831999503076,0.22591019998071715,0.42239339993102476,OK,,,1774868557.6729503
9,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1774868557.7275507
10,1,0.1429935999913141,0.21553190000122413,0.35852549999253824,OK,,,1774868558.1393025
11,1,0.10935809998773038,0.17356510000536218,0.28292319999309257,OK,,,1774868558.4737265
12,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1774868558.599298
13,1,0.1503060999675654,0.21350620000157505,0.36381229996914044,OK,,,1774868559.0139906
14,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1774868559.0684385
15,1,0.16067540005315095,0.18880790000548586,0.3494833000586368,OK,,,1774868559.4700925
16,1,0.12894289998803288,0.16797099995892495,0.2969138999469578,OK,,,1774868559.8181427
17,1,0.1764246000093408,0.1725092999986373,0.3489339000079781,OK,,,1774868560.221017
18,1,0.18090690003009513,0.25039350002771243,0.43130040005780756,OK,,,1774868560.704395
19,1,0.1518678999855183,0.23348759999498725,0.38535549998050556,OK,,,1774868561.1424656
20,1,0.16258860001107678,,,PACKET_LOSS_PHASE2: [SIMULATOR] Packet dropped (Vehicle → TMA),,,1774868561.526252
